epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1483.16,0.7333,0.46494,1.28507,0.99984,1,0.995,0.72083,1.12408,0.45947,1.79159,0.001274,0.001274,0.001274
57,1505.51,0.73251,0.49271,1.28314,0.97198,1,0.99452,0.66527,1.09301,0.55303,1.86141,0.0012608,0.0012608,0.0012608
58,1528.08,0.72923,0.47058,1.2807,0.99942,1,0.995,0.71906,0.9774,0.45624,1.57824,0.0012476,0.0012476,0.0012476
59,1550.38,0.71809,0.47215,1.26232,0.99914,1,0.995,0.71559,1.01762,0.45725,1.63936,0.0012344,0.0012344,0.0012344
60,1572.71,0.6985,0.46016,1.26898,0.9995,1,0.995,0.702,1.2275,0.49223,2.02348,0.0012212,0.0012212,0.0012212
61,1595.15,0.70984,0.44456,1.27224,0.97466,0.99457,0.99484,0.76346,0.92213,0.44504,1.55044,0.001208,0.001208,0.001208
62,1617.54,0.693,0.449,1.2474,0.99518,1,0.995,0.67004,1.24492,0.48203,2.01912,0.0011948,0.0011948,0.0011948
63,1639.88,0.68144,0.57873,1.22973,0.98892,1,0.995,0.71213,1.18106,0.49622,1.85751,0.0011816,0.0011816,0.0011816
64,1662.22,0.68179,0.4486,1.26044,0.91825,0.99457,0.98545,0.63307,1.3183,0.6517,2.14339,0.0011684,0.0011684,0.0011684
65,1684.6,0.67689,0.4231,1.23802,0.99977,0.99457,0.995,0.77287,0.94915,0.44743,1.51199,0.0011552,0.0011552,0.0011552
66,1706.98,0.69924,0.4362,1.24648,0.99913,1,0.995,0.75181,1.00434,0.44003,1.61176,0.001142,0.001142,0.001142
67,1729.33,0.69136,0.4375,1.25031,0.9965,1,0.995,0.77524,0.95034,0.43363,1.58132,0.0011288,0.0011288,0.0011288
68,1751.67,0.69348,0.44058,1.26333,0.99961,1,0.995,0.71565,1.01058,0.49961,1.5511,0.0011156,0.0011156,0.0011156
69,1774.04,0.71459,0.44673,1.2631,0.99946,1,0.995,0.78732,0.89272,0.38314,1.4629,0.0011024,0.0011024,0.0011024
70,1796.64,0.66946,0.41032,1.23207,0.9992,1,0.995,0.77451,0.87667,0.4105,1.50274,0.0010892,0.0010892,0.0010892
71,1818.99,0.66334,0.4274,1.24307,0.96676,1,0.99218,0.71635,0.99066,0.54457,1.75303,0.001076,0.001076,0.001076
72,1841.42,0.65693,0.41154,1.23781,0.99913,1,0.995,0.75805,0.93453,0.42074,1.5862,0.0010628,0.0010628,0.0010628
73,1863.8,0.68627,0.42649,1.24156,0.99929,1,0.995,0.67095,1.16545,0.47015,2.08202,0.0010496,0.0010496,0.0010496
74,1886.21,0.66619,0.43127,1.24172,0.99958,1,0.995,0.7254,1.1205,0.45624,1.80164,0.0010364,0.0010364,0.0010364
75,1908.66,0.6557,0.41017,1.21531,0.99883,1,0.995,0.69466,1.11281,0.48027,1.82389,0.0010232,0.0010232,0.0010232
76,1931.04,0.67285,0.42339,1.23306,0.99832,1,0.995,0.81745,0.75917,0.38583,1.31529,0.00101,0.00101,0.00101
77,1953.54,0.64851,0.4152,1.20374,0.99934,1,0.995,0.77974,0.88244,0.40822,1.4634,0.0009968,0.0009968,0.0009968
78,1975.95,0.64568,0.40527,1.21614,0.99738,1,0.995,0.77069,0.89305,0.40593,1.49225,0.0009836,0.0009836,0.0009836
79,1998.3,0.63508,0.41443,1.21251,0.99959,1,0.995,0.74976,0.86769,0.42258,1.51198,0.0009704,0.0009704,0.0009704
80,2020.67,0.62882,0.39509,1.19986,0.99913,1,0.995,0.79737,0.84838,0.41634,1.44449,0.0009572,0.0009572,0.0009572
81,2043.05,0.61793,0.39979,1.19446,0.99966,1,0.995,0.7431,0.98218,0.42554,1.58817,0.000944,0.000944,0.000944
82,2065.46,0.63448,0.39922,1.20226,0.99969,1,0.995,0.81797,0.76804,0.36891,1.31927,0.0009308,0.0009308,0.0009308
83,2087.94,0.67081,0.40775,1.27794,0.99761,1,0.995,0.7378,0.89474,0.4537,1.47391,0.0009176,0.0009176,0.0009176
84,2110.34,0.64301,0.5624,1.2213,0.99946,1,0.995,0.75635,0.91669,0.43735,1.51285,0.0009044,0.0009044,0.0009044
85,2132.74,0.64972,0.39595,1.21135,0.9993,1,0.995,0.68554,1.1185,0.48312,1.85501,0.0008912,0.0008912,0.0008912
86,2155.13,0.63334,0.40052,1.19781,0.99798,1,0.995,0.76333,0.92415,0.42788,1.61468,0.000878,0.000878,0.000878
87,2177.53,0.70777,0.4749,1.22414,0.99905,1,0.995,0.79429,0.83678,0.40176,1.47738,0.0008648,0.0008648,0.0008648
88,2199.88,0.61656,0.39062,1.18708,0.99966,1,0.995,0.81632,0.77585,0.37254,1.34345,0.0008516,0.0008516,0.0008516
89,2222.26,0.63373,0.38822,1.20473,0.99933,1,0.995,0.83294,0.72997,0.35357,1.31219,0.0008384,0.0008384,0.0008384
90,2244.75,0.60158,0.38754,1.17108,0.99959,1,0.995,0.77634,0.85878,0.39113,1.48582,0.0008252,0.0008252,0.0008252
91,2267.08,0.6168,0.38746,1.18123,0.99948,1,0.995,0.81792,0.69736,0.38225,1.21535,0.000812,0.000812,0.000812
92,2289.53,0.61259,0.38711,1.18534,0.99964,1,0.995,0.79207,0.81633,0.40937,1.36501,0.0007988,0.0007988,0.0007988
93,2311.95,0.61761,0.3835,1.18911,0.99213,1,0.995,0.80671,0.80532,0.42044,1.41194,0.0007856,0.0007856,0.0007856
94,2334.34,0.61649,0.38919,1.19023,0.99898,1,0.995,0.77668,0.77484,0.39271,1.3734,0.0007724,0.0007724,0.0007724
95,2356.64,0.60024,0.37047,1.16978,0.99965,1,0.995,0.78569,0.83381,0.37392,1.44474,0.0007592,0.0007592,0.0007592
96,2378.89,0.60556,0.38058,1.17191,0.99966,1,0.995,0.82391,0.74444,0.38984,1.29426,0.000746,0.000746,0.000746
97,2401.14,0.61695,0.38304,1.18589,0.99963,1,0.995,0.8468,0.65677,0.37102,1.22207,0.0007328,0.0007328,0.0007328
98,2423.56,0.59642,0.3741,1.17576,0.98774,1,0.99478,0.76435,0.92829,0.40865,1.58551,0.0007196,0.0007196,0.0007196
99,2445.79,0.59991,0.37555,1.16309,0.99953,1,0.995,0.75072,0.95934,0.42202,1.6046,0.0007064,0.0007064,0.0007064
100,2468.02,0.60136,0.36878,1.16875,0.99789,1,0.995,0.82081,0.73957,0.38932,1.30308,0.0006932,0.0006932,0.0006932
101,2490.59,0.61668,0.39272,1.17254,0.99959,1,0.995,0.79468,0.75094,0.38498,1.33613,0.00068,0.00068,0.00068
102,2512.98,0.58991,0.36436,1.17182,0.99961,1,0.995,0.81176,0.76268,0.36302,1.29628,0.0006668,0.0006668,0.0006668
